"scenario","rate_mt","L_mid","L_top","f1","f2","f3"
3,0.95,9,7,331665072.015179,65836205.9584997,4101862500
1,0.96,9,7,157820488.81239,14962368.9827621,1381680000
3,0.96,9,7,334434051.669508,66643369.2947049,4145040000
1,0.97,9,7,158940279.358386,15241780.747468,1396072500
3,0.97,9,7,336952749.1485,67481604.5888226,4188217500
1,0.98,9,7,160029186.921411,15521192.5121738,1410465000
3,0.98,9,7,339489832.91122,68319839.8829402,4231395000
1,0.99,9,7,161106421.074409,15800604.2768797,1424857500
3,0.99,9,7,342097337.069186,69148474.4550066,4274572500
1,1,9,7,184010261.226487,13684009.9508706,1439250000
3,1,9,7,344931082.59659,69969036.3742601,4317750000
1,0.8,1,8,181523385.168391,7822791.59057377,1151400000
3,0.8,1,8,490200102.118286,24070416.6213374,3454200000
1,0.81,1,8,183612435.248238,7932805.29954753,1165792500
3,0.81,1,8,485967688.744723,25283725.351213,3497377500
1,0.82,1,8,185640217.106733,8124411.00742083,1180185000
3,0.82,1,8,491590118.781778,25721842.9982718,3540555000
1,0.83,1,8,188035947.047633,8156334.71131223,1194577500
3,0.83,1,8,497151027.812397,26159960.6453306,3583732500
1,0.84,1,8,190247291.585448,8268099.41719458,1208970000
3,0.84,1,8,502583003.857863,26622087.8151647,3626910000
1,0.85,1,8,192456776.485978,8379864.12307693,1223362500
3,0.85,1,8,507786403.916071,27115152.814678,3670087500
1,0.86,1,8,194554079.042689,8504125.36632762,1237755000
3,0.86,1,8,513390286.269012,27566682.2264427,3713265000
1,0.87,1,8,196676011.815798,8638243.01338644,1252147500
3,0.87,1,8,511676521.97037,30661894.3886952,3756442500
1,0.88,1,8,198769895.866001,8772360.66044526,1266540000
3,0.88,1,8,515942123.579691,31208688.6885229,3799620000
1,0.89,1,8,200853509.311379,8906478.3075041,1280932500
3,0.89,1,8,521557463.911364,31628923.9826405,3842797500
1,0.9,1,8,202972389.907229,9053065.93859186,1295325000
3,0.9,1,8,527051724.001559,32049159.2767582,3885975000
1,0.91,1,8,205020382.180778,9174713.60162174,1309717500
3,0.91,1,8,532688205.737888,32469394.5708758,3929152500
1,0.92,1,8,207110827.49435,9308831.24868057,1324110000
3,0.92,1,8,538310423.58127,32889629.8649934,3972330000
1,0.93,1,8,209199282.481562,9442948.89573938,1338502500
3,0.93,1,8,543942925.833226,33309865.1591111,4015507500
1,0.94,1,8,211284623.660515,9577066.5427982,1352895000
3,0.94,1,8,549362417.352505,33747704.0116159,4058685000
1,0.95,1,8,213402698.315418,9711184.18985702,1367287500
3,0.95,1,8,554700645.218609,34194762.8351452,4101862500
1,0.96,1,8,215504476.91956,9845301.83691586,1381680000
3,0.96,1,8,560287692.099829,34610749.7007622,4145040000
1,0.97,1,8,217588090.364938,9979419.48397468,1396072500
3,0.97,1,8,565624456.805711,35057808.5242917,4188217500
1,0.98,1,8,219671703.810317,10113537.1310335,1410465000
3,0.98,1,8,570979607.795322,35504867.347821,4231395000
1,0.99,1,8,221743643.845668,10247654.7780923,1424857500
3,0.99,1,8,576405179.180178,35942325.4492992,4274572500
1,1,1,8,233935538.687504,7979593.65085248,1439250000
3,1,1,8,582188218.681841,36357130.1482571,4317750000
1,0.8,2,8,129782113.904494,15134252.1059041,1151400000
3,0.8,2,8,289020631.164874,50893946.033102,3454200000
1,0.81,2,8,130537970.70703,15411912.8737014,1165792500
3,0.81,2,8,282273511.908959,52442548.8806248,3497377500
1,0.82,2,8,127942816.302368,16140622.5340815,1180185000
3,0.82,2,8,285381236.06366,53215960.6453306,3540555000
1,0.83,2,8,132295095.951803,15970736.4031132,1194577500
3,0.83,2,8,288427439.211926,53989372.4100365,3583732500
1,0.84,2,8,133173247.212308,16250148.167819,1208970000
3,0.84,2,8,291344709.375039,54786793.6975176,3626910000
1,0.85,2,8,134096361.098839,16529559.9325249,1223362500
3,0.85,2,8,294033403.550895,55615152.814678,3670087500
1,0.86,2,8,134849017.17223,16821468.2345991,1237755000
3,0.86,2,8,297122580.021483,56401976.3440898,3713265000
1,0.87,2,8,135637756.668028,17123232.9404815,1252147500
3,0.87,2,8,292894109.840488,59832482.6239892,3756442500
1,0.88,2,8,136398447.44092,17424997.6463638,1266540000
3,0.88,2,8,294645005.567456,60714571.0414641,3799620000
1,0.89,2,8,137148867.608987,17726762.3522462,1280932500
3,0.89,2,8,297745640.016776,61470100.4532287,3842797500
1,0.9,2,8,137934554.927526,18040997.0421575,1295325000
3,0.9,2,8,300725194.224617,62225629.8649935,3885975000
1,0.91,2,8,138649353.923764,18330291.7640109,1309717500
