"seed","method","evaluation","phase","scenario","rate_mt","L_mid","L_top","f1_retained_integral_m3yr","f2_unretained_final_m3","f3_total_cost_eur"
1,"SCAL",17,"initial",3,0.882254885928705,2,6,283332756.213075,62891331.3675459,3809356033.71867
1,"SCAL",18,"initial",3,0.964189258823171,6,1,418736118.144819,37262299.8294179,4163128172.28375
1,"SCAL",19,"initial",3,0.929412038763985,6,5,429090545.796507,27349177.7717371,4012968830.3732
1,"SCAL",20,"initial",3,0.956586552457884,1,6,545265811.62979,36879928.421046,4130301586.87503
1,"SCAL",21,"sequential",1,0.98565448014997,9,3,168371973.485102,10739004.4894249,1418603210.55584
1,"SCAL",22,"sequential",1,0.828340117773041,4,3,193027287.76097,2655046.418069,1192188514.50485
1,"SCAL",23,"sequential",3,0.891480764281005,7,3,396448019.615071,33748553.6500565,3849191069.97431
1,"SCAL",24,"sequential",3,0.928994631068781,8,2,341025703.272963,64416259.5205666,4011166568.29723
1,"SCAL",25,"sequential",3,0.993889677384868,4,3,621825684.888238,15315706.1199722,4291367154.52852
1,"SCAL",26,"sequential",1,0.893419508170337,4,9,177168966.662992,13102582.4261278,1285854027.13416
1,"SCAL",27,"sequential",1,0.905142251821235,3,4,222135799.948518,3781612.22000181,1302725985.93371
1,"SCAL",28,"sequential",1,0.970926011353731,4,2,187275554.541969,14914396.3729992,1397405261.84086
1,"SCAL",29,"sequential",1,0.908810158632696,3,9,202013540.709392,9708386.53025209,1308005020.81211
1,"SCAL",30,"sequential",1,0.834573620697483,4,1,193988728.487563,2745615.54879473,1201160083.58885
1,"SCAL",31,"sequential",1,0.924270052788779,3,4,226447531.606308,4059527.91641261,1330255673.47625
1,"SCAL",32,"sequential",3,0.908706769347191,4,3,593738128.354419,11164812.8176009,3923568653.34883
1,"SCAL",33,"sequential",1,0.931106505636126,3,1,234053814.737845,10675.9719384611,1340095038.23679
1,"SCAL",34,"sequential",1,0.943779053492472,3,7,230848228.132446,4342431.50567756,1358334002.73904
1,"SCAL",35,"sequential",1,0.805492523498833,4,3,189331529.11329,2337452.44904739,1159305114.4457
1,"SCAL",36,"sequential",1,0.987247456982732,3,3,248211293.123725,10675.9719384573,1420895902.4624
1,"SCAL",37,"sequential",1,0.801951320050284,8,9,130832577.062542,14317913.4836582,1154208437.38237
1,"SCAL",38,"sequential",1,0.810388457216322,7,4,163778711.764776,11513570.0859123,1166351587.04859
1,"SCAL",39,"sequential",1,0.820677322661504,3,4,203347217.599301,2560331.92569655,1181159836.64057
1,"SCAL",40,"sequential",1,0.931095772096887,8,3,165389021.788439,9457645.13327413,1340079589.99044
1,"SCAL",41,"sequential",3,0.811750581813976,3,3,527357309.312198,7548258.1982813,3504936074.6273
1,"SCAL",42,"sequential",1,0.817051702365279,5,3,205377138.355678,32830.0685135834,1175941662.62923
1,"SCAL",43,"sequential",1,0.803339524799958,7,1,188883735.246804,2314757.56568542,1156206411.06834
1,"SCAL",44,"sequential",1,0.911787137342617,6,3,155694646.053536,9906955.16431637,1312289637.42036
1,"SCAL",45,"sequential",1,0.840938703343272,3,2,191625596.072635,7997785.83608517,1210321028.7868
1,"SCAL",46,"sequential",1,0.979389382293448,1,1,246246891.869241,10675.971938476,1409586168.46584
1,"SCAL",47,"sequential",1,0.804257672978565,3,3,202266485.839495,18508.5171774477,1157527855.8344
1,"SCAL",48,"sequential",1,0.915235098870471,3,3,230047948.96716,10675.9719384722,1317252116.04933
1,"SCAL",49,"sequential",1,0.948003907548264,1,8,212979618.972024,9684413.06756316,1364414623.93884
1,"SCAL",50,"sequential",1,0.86964861494489,3,5,218585465.783938,10675.9719384536,1251641769.05943
1,"SCAL",51,"sequential",1,0.827982328133658,3,4,204899526.483167,2649847.94507327,1191673565.76637
1,"SCAL",52,"sequential",1,0.954465726530179,5,6,210493028.963171,10479350.360479,1373714796.90856
1,"SCAL",53,"sequential",1,0.993444830179214,3,3,249769750.206959,10675.9719384573,1429815471.83543
1,"SCAL",54,"sequential",1,0.891647549998015,2,3,160192436.238002,8858580.70782374,1283303736.33464
1,"SCAL",55,"sequential",1,0.805221529351547,6,6,117479047.103955,17190938.7347156,1158915086.11921
1,"SCAL",56,"sequential",1,0.863841329095885,3,1,217128104.560615,10675.9719384499,1243283632.90125
1,"SCAL",57,"sequential",1,0.967579732043669,5,3,243277112.174076,10675.971938435,1392589129.34385
1,"SCAL",58,"sequential",1,0.8190401726868,9,5,142587388.642188,8665459.82311817,1178803568.53948
1,"SCAL",59,"sequential",1,0.867783871432766,3,6,192369152.63893,9316793.71564308,1248957936.95961
1,"SCAL",60,"sequential",1,0.947201041039079,1,6,208953251.401832,10381918.1080101,1363259098.31549
1,"SCAL",61,"sequential",1,0.982409479143098,1,3,247006357.40055,10675.9719384722,1413932842.8567
1,"SCAL",62,"sequential",1,0.825349907577038,5,3,207554263.140751,1.49011611938477e-08,1187884854.48025
1,"SCAL",63,"sequential",1,0.984483120637014,3,3,247516143.836788,10675.9719384573,1416917331.37682
1,"SCAL",64,"sequential",1,0.96839438569732,1,1,243481973.607568,10675.9719384648,1393761619.61487
1,"SCAL",65,"sequential",3,0.845816595153883,5,7,564623127.013674,24078201.1575859,3652024603.72568
1,"SCAL",66,"sequential",1,0.804998348187655,1,3,202482722.5435,16025.0767704993,1158593872.62908
1,"SCAL",67,"sequential",1,0.938639914384112,3,3,235946972.835516,10675.9719384611,1350937496.77733
1,"SCAL",68,"sequential",1,0.9291503184475,1,1,233558890.829646,10675.9719384797,1337279595.82556
1,"SCAL",69,"sequential",1,0.880094339279458,1,3,221211435.503131,10675.971938476,1266675777.80796
1,"SCAL",70,"sequential",1,0.99712062496692,1,5,250695587.476877,10675.9719384648,1435105859.48364
1,"SCAL",71,"sequential",1,0.969523725053296,5,3,243765969.239732,10675.9719384797,1395387021.28296
1,"SCAL",72,"sequential",1,0.838473777333275,7,2,174489811.749392,10847246.1457663,1206773384.02692
1,"SCAL",73,"sequential",1,0.887736092554405,3,3,223133111.694331,10675.9719384648,1277674171.20893
1,"SCAL",74,"sequential",1,0.805720808263868,1,1,202693641.423649,13602.7106326222,1159633673.29377
1,"SCAL",75,"sequential",1,0.967869776720181,5,1,243353050.24467,10675.9719384424,1393006576.14452
1,"SCAL",76,"sequential",1,0.905438599782065,3,3,227584417.578752,10675.9719384797,1303152504.73634
1,"SCAL",77,"sequential",1,0.948569190362468,5,5,238129994.927864,1376288.21773581,1365228207.22918
1,"SCAL",78,"sequential",3,0.903652991820127,3,5,625314180.022251,0,3901747705.43135
1,"SCAL",79,"sequential",1,0.896925632888451,5,3,225387977.005509,31392.4936313219,1290900217.1347
1,"SCAL",80,"sequential",1,0.928306938847527,1,5,233346805.665535,10675.9719384685,1336065761.7363
1,"SCAL",81,"sequential",3,0.889204837102443,3,4,593524660.129561,10218854.3864821,3839364185.39907
1,"SCAL",82,"sequential",1,0.888982314663008,5,3,223446499.901053,10675.9719384722,1279467796.37873
1,"SCAL",83,"sequential",3,0.959893612703308,5,5,752581342.547672,0,4144580646.24971
1,"SCAL",84,"sequential",1,0.82422019704245,1,7,204054875.55238,2594635.67825938,1186258918.59335
1,"SCAL",85,"sequential",1,0.869260390289128,5,1,218490839.066562,10675.9719384722,1251083016.72363
1,"SCAL",86,"sequential",1,0.973416152736172,1,5,244744800.318809,10675.9719384536,1400989197.82554
1,"SCAL",87,"sequential",1,0.853186466032639,2,6,130582096.011093,17326866.4394188,1227948621.23748
1,"SCAL",88,"sequential",1,0.887976361671463,3,5,223193532.310532,10675.9719384611,1278019978.53565
1,"SCAL",89,"sequential",1,0.965698129776865,1,1,242803944.545218,10675.9719384611,1389881033.28135
1,"SCAL",90,"sequential",3,0.962237851880491,3,1,622259608.934041,9146051.34550799,4154702484.95699
1,"SCAL",91,"sequential",1,0.866302554681897,1,3,217744030.041332,10675.9719384611,1246825951.82592
1,"SCAL",92,"sequential",1,0.809080856572837,3,3,203674591.997818,2336.66630253941,1164469622.82245
1,"SCAL",93,"sequential",1,0.967604194395244,5,3,243283263.736017,10675.9719384722,1392624336.78335
1,"SCAL",94,"sequential",1,0.907705132849514,1,5,228154383.982478,10675.9719384797,1306414612.45366
1,"SCAL",95,"sequential",1,0.891951090516523,3,7,219171793.658654,3589401.69067408,1283740607.0259
1,"SCAL",96,"sequential",1,0.976113773742691,1,5,245423172.660154,10675.9719384648,1404871748.85917
1,"SCAL",97,"sequential",1,0.81942230341956,3,5,206091432.312712,22232.0873297565,1179353550.1966
1,"SCAL",98,"sequential",1,0.87033464293927,3,1,218760982.012407,10675.9719384573,1252629134.85034
1,"SCAL",99,"sequential",1,0.918061183998361,3,3,230760814.742007,10675.9719384611,1321319559.06964
1,"SCAL",100,"sequential",3,0.815795900300145,1,5,569775596.06688,0,3522402748.52095
1,"EHVI",1,"initial",3,0.825111019192263,4,3,561262174.77002,7072177.12867077,3562623103.11739
1,"EHVI",2,"initial",1,0.853444133745506,4,3,196885328.79804,3019793.00308071,1228319469.49322
1,"EHVI",3,"initial",1,0.877222818508744,9,8,145657084.538724,13726744.2920856,1262542941.53871
1,"EHVI",4,"initial",3,0.802678066631779,7,6,290896872.820572,56149380.8394557,3465763222.19936
1,"EHVI",5,"initial",1,0.876477591414005,6,7,145956870.72542,12787296.7212846,1261470373.44261
1,"EHVI",6,"initial",1,0.973938169144094,9,6,135580789.247741,21467059.3851919,1401740509.94064
1,"EHVI",7,"initial",1,0.868069799337536,8,8,128310149.639014,18314312.1970976,1249369458.69655
1,"EHVI",8,"initial",1,0.896416023094207,9,7,149527037.246456,13476722.6370086,1290166761.23834
1,"EHVI",9,"initial",3,0.919913165085018,7,1,406399546.862913,35102270.4271606,3971955068.54583
1,"EHVI",10,"initial",1,0.898708261409774,8,4,154830339.818399,12985541.7940998,1293465865.23402
1,"EHVI",11,"initial",3,0.837243520282209,6,8,333138581.560532,49625835.2251541,3615008209.69851
1,"EHVI",12,"initial",1,0.965474663721398,7,9,185211186.193861,15115337.5279188,1389559409.76102
1,"EHVI",13,"initial",1,0.933693347638473,3,9,207209908.837052,10042114.0063296,1343818150.58867
1,"EHVI",14,"initial",3,0.958847972145304,6,7,325103869.312314,69142722.2915907,4140065831.73038
