"seed","method","evaluation","hypervolume","IGD_plus","pareto_size"
1,"TS",93,0.579634101148048,0.079005806310094,42
1,"TS",94,0.579634101148048,0.079005806310094,42
1,"TS",95,0.579634270377825,0.0790044686708619,43
1,"TS",96,0.579634383541705,0.0790044686708619,44
1,"TS",97,0.579634595536982,0.0790044686708619,45
1,"TS",98,0.579634595536982,0.0790044686708619,45
1,"TS",99,0.579634729062157,0.0790044686708619,46
1,"TS",100,0.579634729062157,0.0790044686708619,46
1,"SCAL",1,0.242893438163528,0.494686665636121,1
1,"SCAL",2,0.413180620966765,0.199335844462427,2
1,"SCAL",3,0.413180620966765,0.199335844462427,2
1,"SCAL",4,0.414625999396247,0.199335844462427,3
1,"SCAL",5,0.414625999396247,0.199335844462427,3
1,"SCAL",6,0.414625999396247,0.199335844462427,3
1,"SCAL",7,0.414625999396247,0.199335844462427,3
1,"SCAL",8,0.414625999396247,0.199335844462427,3
1,"SCAL",9,0.414625999396247,0.199335844462427,3
1,"SCAL",10,0.414625999396247,0.199335844462427,3
1,"SCAL",11,0.414625999396247,0.199335844462427,3
1,"SCAL",12,0.414625999396247,0.199335844462427,3
1,"SCAL",13,0.424071080972681,0.199335844462427,4
1,"SCAL",14,0.424071080972681,0.199335844462427,4
1,"SCAL",15,0.424906635619912,0.199335844462427,5
1,"SCAL",16,0.424906635619912,0.199335844462427,5
1,"SCAL",17,0.424906635619912,0.199335844462427,5
1,"SCAL",18,0.424906635619912,0.199335844462427,5
1,"SCAL",19,0.424906635619912,0.199335844462427,5
1,"SCAL",20,0.424906635619912,0.199335844462427,5
1,"SCAL",21,0.424906635619912,0.199335844462427,5
1,"SCAL",22,0.428494405323194,0.199316614242626,6
1,"SCAL",23,0.428494405323194,0.199316614242626,6
1,"SCAL",24,0.428494405323194,0.199316614242626,6
1,"SCAL",25,0.436584665404844,0.194874066256945,7
1,"SCAL",26,0.436584665404844,0.194874066256945,7
1,"SCAL",27,0.453159193231348,0.184125967435019,7
1,"SCAL",28,0.453159193231348,0.184125967435019,7
1,"SCAL",29,0.453159193231348,0.184125967435019,7
1,"SCAL",30,0.453176289473599,0.184125967435019,8
1,"SCAL",31,0.45753872476799,0.183231419786583,9
1,"SCAL",32,0.462731748349138,0.18061735670721,10
1,"SCAL",33,0.480733945637675,0.169180178138882,11
1,"SCAL",34,0.480733945637675,0.169180178138882,11
1,"SCAL",35,0.483023059384496,0.169180178138882,12
1,"SCAL",36,0.497806397465228,0.16542280263317,13
1,"SCAL",37,0.497986313443402,0.16542280263317,14
1,"SCAL",38,0.497986313443402,0.16542280263317,14
1,"SCAL",39,0.498442510315115,0.16542280263317,12
1,"SCAL",40,0.498442510315115,0.16542280263317,12
1,"SCAL",41,0.504293947143012,0.164999110115889,12
1,"SCAL",42,0.504800629058892,0.164604914869124,12
1,"SCAL",43,0.504902986249627,0.164604914869124,13
1,"SCAL",44,0.504902986249627,0.164604914869124,13
1,"SCAL",45,0.504902986249627,0.164604914869124,13
1,"SCAL",46,0.504968613973155,0.16456168487712,14
1,"SCAL",47,0.505119781252414,0.16456168487712,14
1,"SCAL",48,0.505194902755336,0.164235152909158,14
1,"SCAL",49,0.505194902755336,0.164235152909158,14
1,"SCAL",50,0.505520594658342,0.163762485555593,15
1,"SCAL",51,0.505520594658342,0.163762485555593,15
1,"SCAL",52,0.505520594658342,0.163762485555593,15
1,"SCAL",53,0.507120447385437,0.163445642772409,16
1,"SCAL",54,0.507120447385437,0.163445642772409,16
1,"SCAL",55,0.507120447385437,0.163445642772409,16
1,"SCAL",56,0.507167251825628,0.163435207317982,17
1,"SCAL",57,0.50724185909008,0.163399950019788,18
1,"SCAL",58,0.50724185909008,0.163399950019788,18
1,"SCAL",59,0.50724185909008,0.163399950019788,18
1,"SCAL",60,0.50724185909008,0.163399950019788,18
1,"SCAL",61,0.507244375780576,0.163399950019788,19
1,"SCAL",62,0.507336715139018,0.163399950019788,20
1,"SCAL",63,0.507337680382831,0.163399950019788,21
1,"SCAL",64,0.507339223195416,0.163399513492049,22
1,"SCAL",65,0.507649457008292,0.163399513492049,23
1,"SCAL",66,0.507651308455322,0.163399513492049,24
1,"SCAL",67,0.50768883516957,0.163381592881568,25
1,"SCAL",68,0.507693539436048,0.1633814850215,26
1,"SCAL",69,0.507739404656305,0.163358054157554,27
1,"SCAL",70,0.508687502952325,0.163181580674003,28
1,"SCAL",71,0.508689422043242,0.163181155374601,29
1,"SCAL",72,0.508689422043242,0.163181155374601,29
1,"SCAL",73,0.50871951345614,0.163161361562818,29
1,"SCAL",74,0.508721212882169,0.163161361562818,30
1,"SCAL",75,0.508721240169003,0.163161361562818,31
1,"SCAL",76,0.508751108861236,0.163153603029404,32
1,"SCAL",77,0.508779073670428,0.163153603029404,33
1,"SCAL",78,0.526899933119264,0.127436216249971,32
1,"SCAL",79,0.526913077877154,0.127433544905112,33
1,"SCAL",80,0.526914983532724,0.127433544905112,34
1,"SCAL",81,0.52768546395172,0.127433544905112,35
1,"SCAL",82,0.527687169472181,0.127433544905112,36
1,"SCAL",83,0.557357041380566,0.0823576923328735,37
1,"SCAL",84,0.557357041380566,0.0823576923328735,37
1,"SCAL",85,0.557357403750564,0.0823574434653709,38
1,"SCAL",86,0.557361408495142,0.0823574434653709,39
1,"SCAL",87,0.557361408495142,0.0823574434653709,39
1,"SCAL",88,0.557361450126512,0.0823574434653709,40
1,"SCAL",89,0.557367519528178,0.0823557901065576,41
1,"SCAL",90,0.557367519528178,0.0823557901065576,41
1,"SCAL",91,0.557368767371532,0.0823554083266903,42
1,"SCAL",92,0.557374365812174,0.0823554083266903,43
1,"SCAL",93,0.557374366931206,0.0823554083266903,44
1,"SCAL",94,0.557377306611764,0.0823545146323074,45
1,"SCAL",95,0.557377306611764,0.0823545146323074,45
1,"SCAL",96,0.557378828623478,0.0823545146323074,46
1,"SCAL",97,0.55738172920242,0.0823545146323074,47
1,"SCAL",98,0.557382902508848,0.0823541257117348,48
1,"SCAL",99,0.557387905267954,0.0823528680928566,49
1,"SCAL",100,0.563821797573938,0.0815336919643572,48
1,"EHVI",1,0.242893438163528,0.494686665636121,1
1,"EHVI",2,0.413180620966765,0.199335844462427,2
1,"EHVI",3,0.413180620966765,0.199335844462427,2
1,"EHVI",4,0.414625999396247,0.199335844462427,3
1,"EHVI",5,0.414625999396247,0.199335844462427,3
1,"EHVI",6,0.414625999396247,0.199335844462427,3
1,"EHVI",7,0.414625999396247,0.199335844462427,3
1,"EHVI",8,0.414625999396247,0.199335844462427,3
1,"EHVI",9,0.414625999396247,0.199335844462427,3
1,"EHVI",10,0.414625999396247,0.199335844462427,3
1,"EHVI",11,0.414625999396247,0.199335844462427,3
1,"EHVI",12,0.414625999396247,0.199335844462427,3
1,"EHVI",13,0.424071080972681,0.199335844462427,4
1,"EHVI",14,0.424071080972681,0.199335844462427,4
1,"EHVI",15,0.424906635619912,0.199335844462427,5
1,"EHVI",16,0.424906635619912,0.199335844462427,5
1,"EHVI",17,0.424906635619912,0.199335844462427,5
1,"EHVI",18,0.424906635619912,0.199335844462427,5
1,"EHVI",19,0.424906635619912,0.199335844462427,5
1,"EHVI",20,0.424906635619912,0.199335844462427,5
1,"EHVI",21,0.424906635619912,0.199335844462427,5
1,"EHVI",22,0.427516088218842,0.199335844462427,6
1,"EHVI",23,0.452033252646691,0.166780918676273,7
1,"EHVI",24,0.452033252646691,0.166780918676273,7
1,"EHVI",25,0.452566513551462,0.166780918676273,8
1,"EHVI",26,0.452566513551462,0.166780918676273,8
1,"EHVI",27,0.452566513551462,0.166780918676273,8
1,"EHVI",28,0.452566513551462,0.166780918676273,8
1,"EHVI",29,0.452566513551462,0.166780918676273,8
1,"EHVI",30,0.452566513551462,0.166780918676273,8
1,"EHVI",31,0.452742851637473,0.166780918676273,8
1,"EHVI",32,0.456416469214896,0.162828324938139,8
1,"EHVI",33,0.456416469214896,0.162828324938139,8
1,"EHVI",34,0.456416469214896,0.162828324938139,8
1,"EHVI",35,0.456416469214896,0.162828324938139,8
1,"EHVI",36,0.456416469214896,0.162828324938139,8
1,"EHVI",37,0.457040928653582,0.162828324938139,8
1,"EHVI",38,0.457040928653582,0.162828324938139,8
1,"EHVI",39,0.457262369133233,0.162828324938139,9
1,"EHVI",40,0.457262369133233,0.162828324938139,9
1,"EHVI",41,0.457337182280168,0.162828324938139,10
1,"EHVI",42,0.505092925249065,0.133525497123918,8
1,"EHVI",43,0.505158082388645,0.133525497123918,9
1,"EHVI",44,0.505158082388645,0.133525497123918,9
1,"EHVI",45,0.505158082388645,0.133525497123918,9
1,"EHVI",46,0.505818164465307,0.133525497123918,10
1,"EHVI",47,0.514761354348987,0.13212603319287,8
1,"EHVI",48,0.515528794576256,0.1319756268353,9
1,"EHVI",49,0.515528794576256,0.1319756268353,9
1,"EHVI",50,0.515528794576256,0.1319756268353,9
1,"EHVI",51,0.515528794576256,0.1319756268353,9
1,"EHVI",52,0.542752721267614,0.0870223140440242,9
1,"EHVI",53,0.542752721267614,0.0870223140440242,9
1,"EHVI",54,0.542766769584518,0.0870223140440242,10
1,"EHVI",55,0.542766769584518,0.0870223140440242,10
1,"EHVI",56,0.542766769584518,0.0870223140440242,10
1,"EHVI",57,0.542766769584518,0.0870223140440242,10
1,"EHVI",58,0.542766769584518,0.0870223140440242,10
1,"EHVI",59,0.542766769584518,0.0870223140440242,10
1,"EHVI",60,0.542766769584518,0.0870223140440242,10
1,"EHVI",61,0.542766769584518,0.0870223140440242,10
1,"EHVI",62,0.542766769584518,0.0870223140440242,10
1,"EHVI",63,0.542766769584518,0.0870223140440242,10
