"method","evaluation","metric","n","mean","sd","se","ci_low_95","ci_high_95"
"EPI",44,"hypervolume",10,0.563746268307267,0.0356088991071934,0.0112605226149867,0.538273196416924,0.589219340197611
"EPI",45,"hypervolume",10,0.563750313768971,0.0356073043526255,0.0112600183093124,0.538278382697321,0.589222244840621
"EPI",46,"hypervolume",10,0.563750388148881,0.0356072453977134,0.0112599996661322,0.538278499251035,0.589222277046728
"EPI",47,"hypervolume",10,0.567844508577132,0.0347642975780246,0.0109934361602433,0.542975628223473,0.592713388930792
"EPI",48,"hypervolume",10,0.568136732357834,0.0350600773449874,0.0110869699351829,0.543056263905232,0.593217200810436
"EPI",49,"hypervolume",10,0.568195577222844,0.0350662542392954,0.0110889232406709,0.543110690086241,0.593280464359447
"EPI",50,"hypervolume",10,0.568337409651244,0.0350017965735664,0.0110685399370347,0.543298632750963,0.593376186551525
"EPI",51,"hypervolume",10,0.570567595027476,0.0359428585652273,0.011366129868341,0.544855622932514,0.596279567122438
"EPI",52,"hypervolume",10,0.570781150701075,0.0358440349405249,0.0113348790942717,0.545139872768517,0.596422428633633
"EPI",53,"hypervolume",10,0.571049783986445,0.0351763357033986,0.0111237340561441,0.545886149314276,0.596213418658613
"EPI",54,"hypervolume",10,0.573799399291254,0.037228679237873,0.01177274206715,0.547167606498274,0.600431192084233
"EPI",55,"hypervolume",10,0.57812552672618,0.0373612534428591,0.0118146657118242,0.551398896060111,0.60485215739225
"EPI",56,"hypervolume",10,0.578221715446403,0.0373939090537735,0.0118249923227116,0.551471724363547,0.604971706529258
"EPI",57,"hypervolume",10,0.578418894487804,0.0376624971640234,0.0119099273407946,0.55147676704542,0.605361021930189
"EPI",58,"hypervolume",10,0.578529274730131,0.0377264367426454,0.0119301468109023,0.551541407668614,0.605517141791648
"EPI",59,"hypervolume",10,0.578574939778059,0.0376977644380764,0.0119210798320819,0.551607583647625,0.605542295908492
"EPI",60,"hypervolume",10,0.582175529656313,0.040593666919227,0.0128368446042988,0.553136569686971,0.611214489625655
"EPI",61,"hypervolume",10,0.582698480915382,0.0403695598532862,0.0127659757274877,0.553819837483337,0.611577124347426
"EPI",62,"hypervolume",10,0.591196573675258,0.0361950053749456,0.0114458656906865,0.565304226618645,0.61708892073187
"EPI",63,"hypervolume",10,0.592010076059092,0.0343006251330143,0.0108468100587941,0.56747288699108,0.616547265127105
"EPI",64,"hypervolume",10,0.592078244682243,0.034215823023752,0.0108199932772286,0.567601719388732,0.616554769975754
"EPI",65,"hypervolume",10,0.592291043990845,0.0336725343152852,0.010648190302648,0.568203164026871,0.616378923954818
"EPI",66,"hypervolume",10,0.592291043990845,0.0336725343152852,0.010648190302648,0.568203164026871,0.616378923954818
"EPI",67,"hypervolume",10,0.592804906538006,0.0341913766419722,0.0108122626525312,0.568345869132527,0.617263943943485
"EPI",68,"hypervolume",10,0.592804906538006,0.0341913766419722,0.0108122626525312,0.568345869132527,0.617263943943485
"EPI",69,"hypervolume",10,0.594388063404999,0.0306926641589018,0.0097058726200746,0.57243185413629,0.616344272673707
"EPI",70,"hypervolume",10,0.594486714461373,0.0307881666005057,0.00973607314383214,0.572462186861526,0.61651124206122
"EPI",71,"hypervolume",10,0.594494927701716,0.030799192443515,0.00973955982153542,0.572462512688928,0.616527342714504
"EPI",72,"hypervolume",10,0.594559582034913,0.0307674778343547,0.00972953078153057,0.572549854286808,0.616569309783018
"EPI",73,"hypervolume",10,0.594673505325647,0.0306778528339123,0.00970118886786139,0.572727891440556,0.616619119210738
"EPI",74,"hypervolume",10,0.594698917418287,0.0307067928908971,0.00971034051743012,0.572732601063572,0.616665233773001
"EPI",75,"hypervolume",10,0.594698917418287,0.0307067928908971,0.00971034051743012,0.572732601063572,0.616665233773001
"EPI",76,"hypervolume",10,0.594938172379168,0.0309881570892796,0.00979931568932173,0.572770580202048,0.617105764556288
"EPI",77,"hypervolume",10,0.594957715277344,0.0309807534517763,0.00979697445357366,0.572795419343441,0.617120011211246
"EPI",78,"hypervolume",10,0.594986487453579,0.0309969587900087,0.00980209903148045,0.572812598919058,0.6171603759881
"EPI",79,"hypervolume",10,0.595078378976542,0.031087071453621,0.00983059515778439,0.572840027725791,0.617316730227294
"EPI",80,"hypervolume",10,0.595319818699722,0.0313908294781499,0.00992665187929085,0.57286417204838,0.617775465351064
"EPI",81,"hypervolume",10,0.595319818699722,0.0313908294781499,0.00992665187929085,0.57286417204838,0.617775465351064
"EPI",82,"hypervolume",10,0.597097372512422,0.0304451355711224,0.00962759720773581,0.575318234528406,0.618876510496437
"EPI",83,"hypervolume",10,0.597127505396798,0.0304313088838159,0.00962322482529744,0.575358258429034,0.618896752364562
"EPI",84,"hypervolume",10,0.597165008659138,0.0304245760980095,0.00962109573148284,0.575400578036197,0.618929439282079
"EPI",85,"hypervolume",10,0.598083580059055,0.0305433539754066,0.00965865659430432,0.576234180861241,0.619932979256869
"EPI",86,"hypervolume",10,0.598264773505082,0.0305582234397821,0.00966335873180566,0.576404737333239,0.620124809676925
"EPI",87,"hypervolume",10,0.598433039333779,0.0307466219979441,0.00972293558697403,0.57643823095228,0.620427847715278
"EPI",88,"hypervolume",10,0.602744762017742,0.0324304332534828,0.010255403458707,0.579545427626242,0.625944096409242
"EPI",89,"hypervolume",10,0.60366061444153,0.0302977844807998,0.00958100070162294,0.58198688507758,0.625334343805481
"EPI",90,"hypervolume",10,0.603865259347216,0.0305261725787662,0.00965322335962768,0.582028150980144,0.625702367714289
"EPI",91,"hypervolume",10,0.603865259347216,0.0305261725787662,0.00965322335962768,0.582028150980144,0.625702367714289
"EPI",92,"hypervolume",10,0.60386670235136,0.0305278256431313,0.00965374610447896,0.582028411453278,0.625704993249442
"EPI",93,"hypervolume",10,0.604003518566685,0.0306392646447392,0.00968898621100456,0.582085509009208,0.625921528124162
"EPI",94,"hypervolume",10,0.604176024808219,0.0306742146354545,0.00970003836849078,0.58223301353352,0.626119036082918
"EPI",95,"hypervolume",10,0.604965527488509,0.0306954310760546,0.00970674759610458,0.583007338886507,0.626923716090512
"EPI",96,"hypervolume",10,0.606428477638451,0.0321753981655648,0.0101747542825988,0.583411584358359,0.629445370918544
"EPI",97,"hypervolume",10,0.606428477638451,0.0321753981655648,0.0101747542825988,0.583411584358359,0.629445370918544
"EPI",98,"hypervolume",10,0.606446873950212,0.0321481309703859,0.0101661316383819,0.583449486446497,0.629444261453927
"EPI",99,"hypervolume",10,0.606492984925579,0.0321734527906991,0.010174139101051,0.583477483282831,0.629508486568326
