"method","evaluation","metric","n","mean","sd","se","ci_low_95","ci_high_95"
"EPI",3,"IGD_plus",10,0.258799623202194,0.100525193153345,0.0317888572592934,0.186888232055914,0.330711014348475
"EPI",4,"IGD_plus",10,0.244779280578203,0.103266397010904,0.0326557020313661,0.170906950321744,0.318651610834662
"EPI",5,"IGD_plus",10,0.230236835803066,0.0951736133478901,0.0300965391327536,0.162153734228471,0.298319937377661
"EPI",6,"IGD_plus",10,0.222049509896795,0.0752085685513667,0.0237830376183229,0.168248540995406,0.275850478798183
"EPI",7,"IGD_plus",10,0.187899635952109,0.0678625661348204,0.0214600276849842,0.139353680610675,0.236445591293544
"EPI",8,"IGD_plus",10,0.186909945993541,0.0677303815548474,0.0214182272505574,0.138458549804253,0.235361342182829
"EPI",9,"IGD_plus",10,0.186909945993541,0.0677303815548474,0.0214182272505574,0.138458549804253,0.235361342182829
"EPI",10,"IGD_plus",10,0.185318719032411,0.0685112558570893,0.0216651613866953,0.136308719018319,0.234328719046503
"EPI",11,"IGD_plus",10,0.182033671240166,0.0683313994724676,0.0216082858039826,0.133152332732896,0.230915009747436
"EPI",12,"IGD_plus",10,0.182001821707542,0.0683259889872011,0.0216065748583137,0.133124353628273,0.230879289786812
"EPI",13,"IGD_plus",10,0.148290000373057,0.0425789069749196,0.0134646326321176,0.117830885219865,0.178749115526248
"EPI",14,"IGD_plus",10,0.146011172814047,0.0440875816409399,0.0139417174513994,0.114472816819655,0.177549528808439
"EPI",15,"IGD_plus",10,0.143950130148313,0.0448594652864379,0.0141858084922402,0.111859601857509,0.176040658439118
"EPI",16,"IGD_plus",10,0.143950130148313,0.0448594652864379,0.0141858084922402,0.111859601857509,0.176040658439118
"EPI",17,"IGD_plus",10,0.143950130148313,0.0448594652864379,0.0141858084922402,0.111859601857509,0.176040658439118
"EPI",18,"IGD_plus",10,0.139623906171005,0.0459043206475042,0.0145162207688809,0.106785933381921,0.172461878960089
"EPI",19,"IGD_plus",10,0.133834151817904,0.0426151682815075,0.0134760994640927,0.103349096888626,0.164319206747183
"EPI",20,"IGD_plus",10,0.133664855349178,0.0425880595723513,0.0134675269375567,0.103199192822206,0.164130517876149
"EPI",21,"IGD_plus",10,0.133664855349178,0.0425880595723513,0.0134675269375567,0.103199192822206,0.164130517876149
"EPI",22,"IGD_plus",10,0.132385255485842,0.0426007632206372,0.0134715441838744,0.101910505316338,0.162860005655346
