"seed","method","final_hypervolume","final_IGD_plus","final_pareto_size","mean_nearest_neighbor","spacing_sd","objective_extent","best_f1_retained_integral_m3yr","best_f2_unretained_final_m3","best_f3_total_cost_eur","sensitivity_family","parameter","parameter_value"
1,"SCAL",0.563821797573938,0.0815336919643572,48,0.0353233095033779,0.111396732714701,2.5294256860201,752581342.547672,0,1154208437.38237,"SCAL_UCB_kappa","ucb_k",2
2,"SCAL",0.60831028845554,0.054789564080422,35,0.0235606982613954,0.0646857250348454,2.07429517519119,781940501.422216,0,1153699464.30795,"SCAL_UCB_kappa","ucb_k",2
3,"SCAL",0.629144646371069,0.0364863881590504,25,0.0163387414501132,0.0285526111076114,1.87257936630023,833949418.666173,0,1156688128.86301,"SCAL_UCB_kappa","ucb_k",2
4,"SCAL",0.685580693881062,0.0140597103510468,18,0.0237730601304006,0.0363235091769952,1.89721024268184,803412879.036328,0,1153997530.92978,"SCAL_UCB_kappa","ucb_k",2
5,"SCAL",0.638557302371393,0.0323000995300952,30,0.0301623837627055,0.0553785062603463,2.14950411868656,813502674.443543,0,1155484810.1249,"SCAL_UCB_kappa","ucb_k",2
1,"SCAL",0.592557996664021,0.0633000755098596,29,0.0390614469472071,0.0826828236374563,2.42194407233827,752581342.547672,0,1160979512.84613,"SCAL_UCB_kappa","ucb_k",4
2,"SCAL",0.599885541660037,0.0554583763233571,37,0.0162549472250827,0.03745869547233,2.10649245027818,781940501.422216,0,1154397821.13663,"SCAL_UCB_kappa","ucb_k",4
3,"SCAL",0.596632261969928,0.0595379285616874,27,0.0196517010903726,0.0275184219593143,1.98462049170241,784381043.992159,0,1152858269.39091,"SCAL_UCB_kappa","ucb_k",4
4,"SCAL",0.683201194181741,0.0257405739111123,19,0.019940111859894,0.02786755065683,1.83152679266654,781597801.992375,0,1153544281.95145,"SCAL_UCB_kappa","ucb_k",4
5,"SCAL",0.6851465121372,0.0148389377022837,13,0.0391184001960365,0.0520387857348129,1.90763127134484,813502674.443543,0,1152002251.99606,"SCAL_UCB_kappa","ucb_k",4
1,"EHVI",0.545168777169928,0.0868599669329254,14,0.0734637269462422,0.0431801896699507,2.41642801822414,708449379.008347,0,1151981104.74546,"EHVI_MC_samples","mc_samp",10
2,"EHVI",0.583435725925993,0.0718534767213219,47,0.0132511514582989,0.0326984919492201,2.06238931010382,745218692.654919,0,1154397821.13663,"EHVI_MC_samples","mc_samp",10
3,"EHVI",0.626436965281397,0.0644288277290398,23,0.0420190646447535,0.059008643301334,2.08615033574313,778442761.85845,0,1151977211.40215,"EHVI_MC_samples","mc_samp",10
4,"EHVI",0.623922140613644,0.0400857716982959,30,0.0170239310883554,0.0422368078072594,1.80446424400047,817983513.908264,0,1153765976.66186,"EHVI_MC_samples","mc_samp",10
5,"EHVI",0.585392173713835,0.0687303509822806,33,0.0168908432043671,0.0332088385420904,1.93511907205551,748083777.399606,0,1152305992.48954,"EHVI_MC_samples","mc_samp",10
1,"EHVI",0.545168777169928,0.0868599669329254,14,0.0734637269462422,0.0431801896699507,2.41642801822414,708449379.008347,0,1151981104.74546,"EHVI_MC_samples","mc_samp",20
2,"EHVI",0.583427474130812,0.071854535038877,46,0.0135117075503968,0.033019957260832,2.06238931010382,745218692.654919,0,1154397821.13663,"EHVI_MC_samples","mc_samp",20
3,"EHVI",0.626436965281397,0.0644288277290398,23,0.0420190646447535,0.059008643301334,2.08615033574313,778442761.85845,0,1151977211.40215,"EHVI_MC_samples","mc_samp",20
4,"EHVI",0.623929859698356,0.040086842205583,29,0.0175619791759068,0.0428798995476948,1.80446424400047,817983513.908264,0,1153765976.66186,"EHVI_MC_samples","mc_samp",20
5,"EHVI",0.585392173713835,0.0687303509822806,33,0.0168908432043671,0.0332088385420904,1.93511907205551,748083777.399606,0,1152305992.48954,"EHVI_MC_samples","mc_samp",20
1,"EHVI",0.545168777169928,0.0868599669329254,14,0.0734637269462422,0.0431801896699507,2.41642801822414,708449379.008347,0,1151981104.74546,"EHVI_MC_samples","mc_samp",40
2,"EHVI",0.583428104093776,0.071854535038877,45,0.0138810697719274,0.033303037146198,2.06238931010382,745218692.654919,0,1154397821.13663,"EHVI_MC_samples","mc_samp",40
3,"EHVI",0.626436965281397,0.0644288277290398,23,0.0420190646447535,0.059008643301334,2.08615033574313,778442761.85845,0,1151977211.40215,"EHVI_MC_samples","mc_samp",40
