"cost_scenario","seed","method","final_hypervolume","final_IGD_plus","pareto_size","minimum_cost_eur","maximum_storage_m3yr","minimum_unretained_m3"
"all_chain_costs_minus25pct",6,"SCAL",0.605421561477063,0.046297176225691,38,868038884.147137,772796339.167385,0
"all_chain_costs_minus25pct",6,"EHVI",0.589047569662447,0.0575434222935372,20,865446494.545691,732815260.93984,0
"all_chain_costs_minus25pct",6,"EPI",0.639594523180097,0.0464756332840782,18,863560220.830439,828029312.557895,0
"all_chain_costs_minus25pct",7,"TS",0.573850357564981,0.0568849977174813,37,865561925.318735,740610689.750965,0
"all_chain_costs_minus25pct",7,"SCAL",0.564116103419747,0.0757597926174395,43,865402250.993604,728113406.525632,0
"all_chain_costs_minus25pct",7,"EHVI",0.619196173945967,0.0386167333377662,19,865848008.694034,785917783.908935,0
"all_chain_costs_minus25pct",7,"EPI",0.538807352941225,0.0835064133273694,22,865164311.701632,740243951.92395,0
"all_chain_costs_minus25pct",8,"TS",0.598355085401847,0.051814969169793,12,865373416.196153,746111428.025916,0
"all_chain_costs_minus25pct",8,"SCAL",0.594707442809904,0.0512526533245968,34,869161601.037806,736519454.445691,0
"all_chain_costs_minus25pct",8,"EHVI",0.656533047244414,0.0352630088261039,16,865571293.751479,761283469.248137,0
"all_chain_costs_minus25pct",8,"EPI",0.634864801034799,0.040552619786358,10,874559598.340749,723257969.870908,0
"all_chain_costs_minus25pct",9,"TS",0.661878872928063,0.0296364252161296,26,864734426.050424,744892268.679059,0
"all_chain_costs_minus25pct",9,"SCAL",0.680247337787129,0.0112962804144222,30,868888992.412324,837712163.079185,0
"all_chain_costs_minus25pct",9,"EHVI",0.669366392241028,0.0199579691848545,16,882157500.440328,841628904.809238,0
"all_chain_costs_minus25pct",9,"EPI",0.610779057808428,0.0521756190597914,19,864162644.431984,742991659.843336,0
"all_chain_costs_minus25pct",10,"TS",0.608696461984383,0.0435045203583454,12,866666099.870339,742223653.818252,0
"all_chain_costs_minus25pct",10,"SCAL",0.599108519436003,0.0507206600679192,54,865474870.220572,762259289.018862,0
"all_chain_costs_minus25pct",10,"EHVI",0.583208418177495,0.056552410589408,38,864381051.96419,742223653.818252,0
"all_chain_costs_minus25pct",10,"EPI",0.591730253991365,0.0529270336624519,11,866666099.870339,742223653.818252,0
"all_chain_costs_plus25pct",1,"TS",0.58084935178065,0.0630340042729551,46,1458614562.7967,686520641.993336,0
"all_chain_costs_plus25pct",1,"SCAL",0.564951198580663,0.0683516993220564,48,1442760546.72796,752581342.547672,0
"all_chain_costs_plus25pct",1,"EHVI",0.546198993054544,0.0716999636469693,14,1439976380.93182,708449379.008347,0
"all_chain_costs_plus25pct",1,"EPI",0.643142852446114,0.0405320290972818,15,1441850822.54808,746156639.392763,0
"all_chain_costs_plus25pct",2,"TS",0.5632406169979,0.064461468935245,46,1439601396.40093,710722176.985894,0
"all_chain_costs_plus25pct",2,"SCAL",0.609649908472565,0.0458874128944785,35,1442124330.38493,781940501.422216,0
"all_chain_costs_plus25pct",2,"EHVI",0.58465916722922,0.0597765472649137,46,1442997276.42079,745218692.654919,0
"all_chain_costs_plus25pct",2,"EPI",0.633596670653869,0.0395242083034084,11,1442997276.42079,730113362.114074,0
"all_chain_costs_plus25pct",3,"TS",0.574274337807927,0.056818608002542,20,1441982159.21559,768819823.336136,0
"all_chain_costs_plus25pct",3,"SCAL",0.630579341378084,0.0319124533921022,25,1445860161.07876,833949418.666173,0
"all_chain_costs_plus25pct",3,"EHVI",0.627853909031785,0.0539482689670367,23,1439971514.25268,778442761.85845,0
"all_chain_costs_plus25pct",3,"EPI",0.587924900548248,0.0568064217999543,14,1445520576.41941,723179514.294899,0
"all_chain_costs_plus25pct",4,"TS",0.590680088510506,0.0585821433926008,27,1450555457.0793,712680498.078651,0
"all_chain_costs_plus25pct",4,"SCAL",0.687263909579833,0.0113642944265491,18,1442496913.66222,803412879.036328,0
"all_chain_costs_plus25pct",4,"EHVI",0.625340503821786,0.0347392622010078,29,1442207470.82733,817983513.908264,0
"all_chain_costs_plus25pct",4,"EPI",0.614191247572563,0.045589290127295,15,1442804701.7965,718170293.177989,0
"all_chain_costs_plus25pct",5,"TS",0.598279392071556,0.0489590976890641,14,1440253514.7345,765074456.51798,0
"all_chain_costs_plus25pct",5,"SCAL",0.640022701526467,0.0283087987671843,30,1444356012.65612,813502674.443543,0
"all_chain_costs_plus25pct",5,"EHVI",0.586631802468718,0.0563476488646628,33,1440382490.61193,748083777.399606,0
"all_chain_costs_plus25pct",5,"EPI",0.586107672799724,0.0548482956982173,14,1439425517.53887,783672554.765925,0
"all_chain_costs_plus25pct",6,"TS",0.578949937940012,0.0617472683961109,34,1449369464.7477,723619608.200371,0
"all_chain_costs_plus25pct",6,"SCAL",0.605421561477063,0.046297176225691,38,1446731473.57856,772796339.167385,0
"all_chain_costs_plus25pct",6,"EHVI",0.589047569662447,0.0575434222935372,20,1442410824.24282,732815260.93984,0
"all_chain_costs_plus25pct",6,"EPI",0.639594523180097,0.0464756332840781,18,1439267034.7174,828029312.557895,0
"all_chain_costs_plus25pct",7,"TS",0.573850357564981,0.0568849977174813,37,1442603208.86456,740610689.750965,0
"all_chain_costs_plus25pct",7,"SCAL",0.564116103419747,0.0757597926174395,43,1442337084.98934,728113406.525632,0
"all_chain_costs_plus25pct",7,"EHVI",0.619196173945967,0.0386167333377662,19,1443080014.49006,785917783.908935,0
"all_chain_costs_plus25pct",7,"EPI",0.538807352941225,0.0835064133273694,22,1441940519.50272,740243951.92395,0
"all_chain_costs_plus25pct",8,"TS",0.598355085401847,0.051814969169793,12,1442289026.99359,746111428.025916,0
"all_chain_costs_plus25pct",8,"SCAL",0.594707442809903,0.0512526533245968,34,1448602668.39634,736519454.445691,0
"all_chain_costs_plus25pct",8,"EHVI",0.656533047244414,0.0352630088261038,16,1442618822.91913,761283469.248137,0
"all_chain_costs_plus25pct",8,"EPI",0.634864801034798,0.040552619786358,10,1457599330.56791,723257969.870908,0
"all_chain_costs_plus25pct",9,"TS",0.661878872928063,0.0296364252161296,26,1441224043.41737,744892268.679059,0
"all_chain_costs_plus25pct",9,"SCAL",0.680247337787129,0.0112962804144222,30,1448148320.68721,837712163.079185,0
"all_chain_costs_plus25pct",9,"EHVI",0.669366392241028,0.0199579691848545,16,1470262500.73388,841628904.809238,0
"all_chain_costs_plus25pct",9,"EPI",0.610779057808428,0.0521756190597914,19,1440271074.05331,742991659.843336,0
"all_chain_costs_plus25pct",10,"TS",0.608696461984383,0.0435045203583454,12,1444443499.7839,742223653.818252,0
"all_chain_costs_plus25pct",10,"SCAL",0.599108519436003,0.0507206600679192,54,1442458117.03429,762259289.018862,0
